Rank,Title,Score,Rating_Users,Type,Episodes,Duration,Source,Aired,Genres,Watching,Completed,On_Hold,Dropped,Plan_to_Watch,Season_Number
1,Sousou no Frieren,9.3,0,,28,24 min. per ep.,,"Sep 29, 2023 to Mar 22, 2024","Adventure, Drama, Fantasy, Shounen",0,0,0,0,0,1
2,Fullmetal Alchemist: Brotherhood,9.1,0,,64,24 min. per ep.,,"Apr 5, 2009 to Jul 4, 2010","Action, Adventure, Drama, Fantasy, Military, Shounen",0,0,0,0,0,1
3,Steins;Gate,9.07,0,,24,24 min. per ep.,Visual novel,"Apr 6, 2011 to Sep 14, 2011","Drama, Sci-Fi, Suspense, Psychological, Time Travel",0,0,0,0,0,1
4,Shingeki no Kyojin Season 3 Part 2,9.05,0,,10,23 min. per ep.,,"Apr 29, 2019 to Jul 1, 2019","Action, Drama, Suspense, Gore, Military, Survival, Shounen",0,0,0,0,0,1
5,One Piece Fan Letter,9.05,0,,1,24 min.,,"Oct 20, 2024","Action, Adventure, Fantasy, Shounen",0,0,0,0,0,1
6,Gintama°,9.05,0,,51,24 min. per ep.,,"Apr 8, 2015 to Mar 30, 2016","Action, Comedy, Sci-Fi, Gag Humor, Historical, Parody, Samurai, Shounen",0,0,0,0,0,1
7,Gintama: The Final,9.04,0,,1,1 hr. 44 min.,,"Jan 8, 2021","Action, Comedy, Drama, Sci-Fi, Gag Humor, Historical, Parody, Samurai, Shounen",0,0,0,0,0,1
8,Hunter x Hunter (2011),9.03,0,,148,23 min. per ep.,,"Oct 2, 2011 to Sep 24, 2014","Action, Adventure, Fantasy, Shounen",0,0,0,0,0,1
9,Gintama',9.02,0,,51,24 min. per ep.,,"Apr 4, 2011 to Mar 26, 2012","Action, Comedy, Sci-Fi, Gag Humor, Historical, Parody, Samurai, Shounen",0,0,0,0,0,1
10,Gintama': Enchousen,9.02,0,,13,24 min. per ep.,,"Oct 4, 2012 to Mar 28, 2013","Action, Comedy, Sci-Fi, Gag Humor, Historical, Parody, Samurai, Shounen",0,0,0,0,0,1
11,Ginga Eiyuu Densetsu,9.01,0,,110,26 min. per ep.,Novel,"Jan 8, 1988 to Mar 17, 1997","Drama, Sci-Fi, Adult Cast, Military, Space",0,0,0,0,0,1
12,Bleach: Sennen Kessen-hen,9.0,0,,13,24 min. per ep.,,"Oct 11, 2022 to Dec 27, 2022","Action, Adventure, Supernatural, Shounen",0,0,0,0,0,1
13,Gintama.,8.98,0,,12,24 min. per ep.,,"Jan 9, 2017 to Mar 27, 2017","Action, Comedy, Sci-Fi, Gag Humor, Historical, Parody, Samurai, Shounen",0,0,0,0,0,1
14,Kaguya-sama wa Kokurasetai: Ultra Romantic,8.98,0,,13,23 min. per ep.,,"Apr 9, 2022 to Jun 25, 2022","Comedy, Romance, School, Seinen",0,0,0,0,0,1
15,Fruits Basket: The Final,8.95,0,,13,23 min. per ep.,,"Apr 6, 2021 to Jun 29, 2021","Drama, Romance, Supernatural, Shoujo",0,0,0,0,0,1
16,Clannad: After Story,8.93,0,,24,24 min. per ep.,Visual novel,"Oct 3, 2008 to Mar 27, 2009","Drama, Romance",0,0,0,0,0,1
